No.,True/False,Evidence,Alert Name,Description,Host,Alert Timestamp
1,,,Suspicious Shell Execution by logrotate,"A shell (dash) executed on WEB01 with no interactive session, triggered by logrotate. This behavior resembles suspicious privilege escalation or remote code execution attempts.",WEB01,"Jun 13, 2025 @ 11:43:00.000"
2,,,Outbound Connection by Web Server User,"The web server user (www-data) on WEB01 established an outbound network connection to IP address 198.143.164.252. While this may be part of legitimate operations (e.g., plugin updates or telemetry), outbound connections initiated directly by the www-data user can also indicate post-exploitation activity such as remote access or data exfiltration via web shell.",WEB01,"Jun 13, 2025 @ 11:44:00.000"
3,,,Suspicious Command Execution on Web Server,"A shell command (id) was executed on the WEB01 server via /usr/bin/dash from within a WordPress plugin directory, suggesting post-compromise activity.",WEB01,"Jun 13, 2025 @ 12:00:00.000"
4,,,Anomalous Outbound Connections from Web Server,The WEB01 web server has initiated outbound connections to a single IP address (10.10.16.14) over multiple uncommon TCP ports within a short time frame. This pattern is indicative of potential command-and-control (C2) activity or data exfiltration.,WEB01,"Jun 13, 2025 @ 12:00:00.000"
5,,,Suspicious Reconnaissance Activity,"Multiple enumeration-related commands (cat /etc/passwd, ls -la /home/cameron, etc.) were executed within a short timeframe on WEB01. This activity is consistent with system enumeration behavior, which may be part of routine administrative tasks, but it may also indicate post-compromise reconnaissance aimed at identifying users, credentials, or sensitive files.",WEB01,"Jun 13, 2025 @ 12:00:00.000"
6,,,Suspicious Access to SSH Directory,A shell command was executed attempting to access the .ssh directory of another local user on WEB01. This behavior is consistent with post-compromise reconnaissance aimed at identifying and potentially exfiltrating SSH private keys for privilege escalation or lateral movement.,WEB01,"Jun 13, 2025 @ 12:00:00.000"
7,,,Suspicious Access to User Shell History File,"A process accessed or read a .bash_history file on WEB01, which contains a history of user shell commands. While system administrators may access this file during routine troubleshooting, it is also a common step in post-exploitation to gather sensitive data, understand prior user activity, or identify useful commands and credentials. This activity could indicate local reconnaissance or manual privilege escalation attempts, particularly when performed by a user or process not normally associated with interactive shell use.",WEB01,"Jun 13, 2025 @ 12:02:00.000"
8,,,Executable Permissions Assigned in /tmp Directory,"Files in the /tmp directory of WEB01 were modified to include executable permissions. The /tmp directory is often used for staging files, including malicious scripts or binaries. Changing permissions to make these files executable is a common technique in post-exploitation, lateral movement, or privilege escalation workflows. While some legitimate scripts use /tmp, such behavior — particularly outside of automation or system services — can indicate suspicious activity.",WEB01,"Jun 13, 2025 @ 12:10:00.000"
9,,,Possible Privilege Escalation Attempt,"A user executed sudo -l on WEB01, which lists the commands that can be run via sudo on the host. This command is often used during manual privilege escalation attempts to discover misconfigurations or exploitable sudo rights (e.g., NOPASSWD commands or script-based escalation). While administrators may use sudo -l for legitimate diagnostics, its appearance outside of interactive terminal sessions — or from non-administrator users — is a substantial signal of post-exploitation activity.",WEB01,"Jun 13, 2025 @ 12:11:00.000"
10,,,Suspicious Reconnaissance Activity,"Multiple enumeration-related commands (cat .bash_history, whoami, etc.) were executed within a short timeframe on NIX01. This activity is consistent with system enumeration behavior, which may be part of routine administrative tasks, but it may also indicate post-compromise reconnaissance aimed at identifying users, credentials, or sensitive files.",NIX01,"Jun 13, 2025 @ 12:32:00.000"
11,,,Possible Privilege Escalation Attempt,"A user executed sudo -l on NIX01, which lists the commands that can be run via sudo on the host. This command is often used during manual privilege escalation attempts to discover misconfigurations or exploitable sudo rights (e.g., NOPASSWD commands or script-based escalation). While administrators may use sudo -l for legitimate diagnostics, its appearance outside of interactive terminal sessions — or from non-administrator users — is a substantial signal of post-exploitation activity.",NIX01,"Jun 13, 2025 @ 12:32:00.000"
12,,,Executable Permissions Assigned in /tmp Directory,"Multiple files in the /tmp directory of NIX01 were modified to include executable permissions. The /tmp directory is often used for staging files, including malicious scripts or binaries. Changing permissions to make these files executable is a common technique in post-exploitation, lateral movement, or privilege escalation workflows. While some legitimate scripts use /tmp, such behavior — particularly outside of automation or system services — can indicate suspicious activity.",NIX01,"Jun 13, 2025 @ 12:36:00.000"
13,,,Suspicious Command Execution by Web Server User to External Cloud IP,"The web server user (teamcity) on NIX01 executed a command making an outbound connection to IP address 34.200.177.28, which is associated with Amazon AWS infrastructure. While this may be related to legitimate CI/CD activity such as artifact downloads or telemetry, such behavior can also indicate potential misuse of the TeamCity agent for data exfiltration or command-and-control communication.",NIX01,"Jun 13, 2025 @ 12:38:00.000"
14,,,Suspicious Command Execution on Web Server,"The web server user (teamcity) on NIX01 listed the contents of its .gnupg directory, which stores GPG private/public keys and trust settings, suggesting post-compromise activity.",NIX01,"Jun 13, 2025 @ 12:40:00.000"
15,,,Suspicious Command Execution on Web Server,"A shell command (df -k /home/teamcity/.BuildServer/system) was executed on the NIX01 by the web server user (teamcity), suggesting post-compromise activity.",NIX01,"Jun 13, 2025 @ 12:42:00.000"
16,,,Potential Privilege Escalation Attempt,"A bash script (compile.sh) was executed on NIX01 from a directory named /tmp/CVE-2022-0847-DirtyPipe-Exploits, which is strongly associated with public exploit code for the DirtyPipe vulnerability (CVE-2022-0847). This may indicate an active local privilege escalation attempt.",NIX01,"Jun 13, 2025 @ 12:51:00.000"
17,,,Multiple Outgoing Communications by Snapd,"Multiple outgoing network connections to IP address 185.125.188.57 have been observed on NIX02 from the process snapd. While this may be part of legitimate operations (e.g., snap package management or updates.), attackers might hijack or mimic snapd’s update mechanisms to evade network filtering.",NIX02,"Jun 13, 2025 @ 11:33:00.000"
18,,,Suspicious IMAP Login Failures (Potential Brute Force Attempt),"Multiple failed IMAP login attempts were observed on NIX02. This pattern is consistent with an IMAP brute-force attack, where an attacker attempts to guess passwords to gain unauthorized access to email accounts. Such activity is often a precursor to email compromise, lateral movement, or credential harvesting.",NIX02,"Jun 13, 2025 @ 13:10:00.000"
19,,,Automation Script Executed with Elevated Privileges,"A script typically associated with automation activity (email-backup.sh) was detected executing under the root user context on NIX02. This behavior deviates from its usual pattern of running as a standard or service-level user, and may indicate:
- Privilege escalation
- Credential abuse
- Misconfigured or hijacked automation process
- Persistence via cron, systemd, or sudo misuse",NIX02,"Jun 13, 2025 @ 13:14:00.000"
20,,,Executable Permissions Assigned in /tmp Directory,"Files in the /tmp directory of NIX02 were modified to include executable permissions. The /tmp directory is often used for staging files, including malicious scripts or binaries. Changing permissions to make these files executable is a common technique in post-exploitation, lateral movement, or privilege escalation workflows. While some legitimate scripts use /tmp, such behavior — particularly outside of automation or system services — can indicate suspicious activity.",NIX02,"Jun 13, 2025 @ 13:18:00.000"
